순번,설치주소,설치위치,설치년도,설치형상,관리부서
164,충청남도 천안시 동남구 다가동 377-1,일봉공원(다가2공원),,파고라(2개),공원관리1팀
165,충청남도 천안시 동남구 다가동 409-9,다가3공원,,정자(1개),공원관리1팀
166,충청남도 천안시 동남구 다가동 462-45,천안천공원,,파고라(10개),공원관리1팀
167,충청남도 천안시 동남구 용곡동 601,눈들공원(용곡1공원),,파고라(1개),공원관리1팀
168,충청남도 천안시 동남구 용곡동 597,용곡공원(용곡4공원),,파고라(2개),공원관리1팀
169,충청남도 천안시 동남구 신방동 919,신방1공원,,정자(1개),공원관리1팀
170,충청남도 천안시 동남구 신방동 898,신방3공원,,정자(1개),공원관리1팀
171,충청남도 천안시 동남구 서부대로 248-18,용곡2공원,,정자(2개),공원관리1팀
172,충청남도 천안시 동남구 신방동 912,용곡3공원,2022,파고라(1개),공원관리1팀
173,충청남도 천안시 동남구 신방동 1073,소리공원,,파고라(1개),공원관리1팀
174,충청남도 천안시 동남구 신방동 1600,무지개공원,,파고라(2개),공원관리1팀
175,충청남도 천안시 동남구 신방동 1766,해오름공원,,파고라(3개),공원관리1팀
176,충청남도 천안시 동남구 신방동 1392,산마루공원,,파고라(2개),공원관리1팀
177,충청남도 천안시 동남구 신방동 1925,꽃내음공원,,파고라(3개),공원관리1팀
178,충청남도 천안시 동남구 원성7길 17,원성공원(원성2공원),2022,파고라(1개),공원관리1팀
179,충청남도 천안시 동남구 원성동 631,화령공원(원성3공원),,파고라(2개),공원관리1팀
180,충청남도 천안시 동남구 고재4길 23,꽃재공원(원성4공원),,파고라(1개),공원관리1팀
181,충청남도 천안시 동남구 청수동 330,청수1공원,,파고라(1개),공원관리1팀
182,충청남도 천안시 동남구 청수동 264,구성2공원,,파고라(2개),공원관리1팀
183,충청남도 천안시 동남구 청당동 142-9,청당1공원,,파고라(1개),공원관리1팀
184,충청남도 천안시 동남구 청당동 120-8,청당2공원,,파고라(1개),공원관리1팀
185,충청남도 천안시 동남구 청당동 651,청당골공원(청당5공원),,파고라(1개),공원관리1팀
186,충청남도 천안시 동남구 청당동 776,청당6공원,,파고라(1개),공원관리1팀
187,충청남도 천안시 동남구 청당동 870,뒷들공원(청당7공원),,파고라(1개),공원관리1팀
188,충청남도 천안시 동남구 원성동 238-10,문성원성지구 어린이공원,2021,파고라(1개),공원관리1팀
189,충청남도 천안시 동남구 수신면 신풍리 575,생활권공원,,팔각정자(1개),공원관리1팀
