grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection
C00252,204000.000,455000.000,204500.000,455500.000,204250.000,455250.000,500,center_in_cheonan
C00253,204500.000,455000.000,205000.000,455500.000,204750.000,455250.000,500,center_in_cheonan
C00254,205000.000,455000.000,205500.000,455500.000,205250.000,455250.000,500,center_in_cheonan
C00255,205500.000,455000.000,206000.000,455500.000,205750.000,455250.000,500,center_in_cheonan
C00256,206000.000,455000.000,206500.000,455500.000,206250.000,455250.000,500,center_in_cheonan
C00257,206500.000,455000.000,207000.000,455500.000,206750.000,455250.000,500,center_in_cheonan
C00258,207000.000,455000.000,207500.000,455500.000,207250.000,455250.000,500,center_in_cheonan
C00259,207500.000,455000.000,208000.000,455500.000,207750.000,455250.000,500,center_in_cheonan
C00260,208000.000,455000.000,208500.000,455500.000,208250.000,455250.000,500,center_in_cheonan
C00261,208500.000,455000.000,209000.000,455500.000,208750.000,455250.000,500,center_in_cheonan
C00262,209000.000,455000.000,209500.000,455500.000,209250.000,455250.000,500,center_in_cheonan
C00263,209500.000,455000.000,210000.000,455500.000,209750.000,455250.000,500,center_in_cheonan
C00264,210000.000,455000.000,210500.000,455500.000,210250.000,455250.000,500,center_in_cheonan
C00265,210500.000,455000.000,211000.000,455500.000,210750.000,455250.000,500,center_in_cheonan
C00266,211000.000,455000.000,211500.000,455500.000,211250.000,455250.000,500,center_in_cheonan
C00267,211500.000,455000.000,212000.000,455500.000,211750.000,455250.000,500,center_in_cheonan
C00268,212000.000,455000.000,212500.000,455500.000,212250.000,455250.000,500,center_in_cheonan
C00269,222500.000,455000.000,223000.000,455500.000,222750.000,455250.000,500,center_in_cheonan
C00270,223000.000,455000.000,223500.000,455500.000,223250.000,455250.000,500,center_in_cheonan
C00271,223500.000,455000.000,224000.000,455500.000,223750.000,455250.000,500,center_in_cheonan
C00272,224000.000,455000.000,224500.000,455500.000,224250.000,455250.000,500,center_in_cheonan
C00273,224500.000,455000.000,225000.000,455500.000,224750.000,455250.000,500,center_in_cheonan
C00274,225000.000,455000.000,225500.000,455500.000,225250.000,455250.000,500,center_in_cheonan
C00275,225500.000,455000.000,226000.000,455500.000,225750.000,455250.000,500,center_in_cheonan
C00276,204000.000,455500.000,204500.000,456000.000,204250.000,455750.000,500,center_in_cheonan
C00277,204500.000,455500.000,205000.000,456000.000,204750.000,455750.000,500,center_in_cheonan
C00278,205000.000,455500.000,205500.000,456000.000,205250.000,455750.000,500,center_in_cheonan
C00279,205500.000,455500.000,206000.000,456000.000,205750.000,455750.000,500,center_in_cheonan
C00280,206000.000,455500.000,206500.000,456000.000,206250.000,455750.000,500,center_in_cheonan
C00281,206500.000,455500.000,207000.000,456000.000,206750.000,455750.000,500,center_in_cheonan
C00282,207000.000,455500.000,207500.000,456000.000,207250.000,455750.000,500,center_in_cheonan
C00283,207500.000,455500.000,208000.000,456000.000,207750.000,455750.000,500,center_in_cheonan
C00284,208000.000,455500.000,208500.000,456000.000,208250.000,455750.000,500,center_in_cheonan
C00285,208500.000,455500.000,209000.000,456000.000,208750.000,455750.000,500,center_in_cheonan
C00286,209000.000,455500.000,209500.000,456000.000,209250.000,455750.000,500,center_in_cheonan
C00287,209500.000,455500.000,210000.000,456000.000,209750.000,455750.000,500,center_in_cheonan
C00288,210000.000,455500.000,210500.000,456000.000,210250.000,455750.000,500,center_in_cheonan
C00289,210500.000,455500.000,211000.000,456000.000,210750.000,455750.000,500,center_in_cheonan
C00290,211000.000,455500.000,211500.000,456000.000,211250.000,455750.000,500,center_in_cheonan
C00291,211500.000,455500.000,212000.000,456000.000,211750.000,455750.000,500,center_in_cheonan
C00292,212000.000,455500.000,212500.000,456000.000,212250.000,455750.000,500,center_in_cheonan
C00293,222000.000,455500.000,222500.000,456000.000,222250.000,455750.000,500,center_in_cheonan
C00294,222500.000,455500.000,223000.000,456000.000,222750.000,455750.000,500,center_in_cheonan
C00295,223000.000,455500.000,223500.000,456000.000,223250.000,455750.000,500,center_in_cheonan
C00296,223500.000,455500.000,224000.000,456000.000,223750.000,455750.000,500,center_in_cheonan
C00297,224000.000,455500.000,224500.000,456000.000,224250.000,455750.000,500,center_in_cheonan
C00298,224500.000,455500.000,225000.000,456000.000,224750.000,455750.000,500,center_in_cheonan
C00299,225000.000,455500.000,225500.000,456000.000,225250.000,455750.000,500,center_in_cheonan
C00300,225500.000,455500.000,226000.000,456000.000,225750.000,455750.000,500,center_in_cheonan
C00301,226000.000,455500.000,226500.000,456000.000,226250.000,455750.000,500,center_in_cheonan
C00302,226500.000,455500.000,227000.000,456000.000,226750.000,455750.000,500,center_in_cheonan
C00303,204500.000,456000.000,205000.000,456500.000,204750.000,456250.000,500,center_in_cheonan
C00304,205000.000,456000.000,205500.000,456500.000,205250.000,456250.000,500,center_in_cheonan
C00305,205500.000,456000.000,206000.000,456500.000,205750.000,456250.000,500,center_in_cheonan
C00306,206000.000,456000.000,206500.000,456500.000,206250.000,456250.000,500,center_in_cheonan
