grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm
C00232,222750.0,459000.0,223500.0,459750.0,223125.0,459375.0,750,center_in_cheonan,34011340,성남면
C00233,223500.0,459000.0,224250.0,459750.0,223875.0,459375.0,750,center_in_cheonan,34011350,수신면
C00234,224250.0,459000.0,225000.0,459750.0,224625.0,459375.0,750,center_in_cheonan,34011350,수신면
C00235,225000.0,459000.0,225750.0,459750.0,225375.0,459375.0,750,center_in_cheonan,34011350,수신면
C00236,225750.0,459000.0,226500.0,459750.0,226125.0,459375.0,750,center_in_cheonan,34011350,수신면
C00237,226500.0,459000.0,227250.0,459750.0,226875.0,459375.0,750,center_in_cheonan,34011350,수신면
C00238,227250.0,459000.0,228000.0,459750.0,227625.0,459375.0,750,center_in_cheonan,34011350,수신면
C00239,228000.0,459000.0,228750.0,459750.0,228375.0,459375.0,750,center_in_cheonan,34011360,병천면
C00240,229500.0,459000.0,230250.0,459750.0,229875.0,459375.0,750,center_in_cheonan,34011360,병천면
C00241,207750.0,459750.0,208500.0,460500.0,208125.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00242,208500.0,459750.0,209250.0,460500.0,208875.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00243,209250.0,459750.0,210000.0,460500.0,209625.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00244,210000.0,459750.0,210750.0,460500.0,210375.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00245,210750.0,459750.0,211500.0,460500.0,211125.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00246,211500.0,459750.0,212250.0,460500.0,211875.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00247,212250.0,459750.0,213000.0,460500.0,212625.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00248,213000.0,459750.0,213750.0,460500.0,213375.0,460125.0,750,center_in_cheonan,34011310,풍세면
C00249,213750.0,459750.0,214500.0,460500.0,214125.0,460125.0,750,center_in_cheonan,34011310,풍세면
