address_key,provider,status,matched_query,lon,lat,score_or_type,raw_name,message
"충청남도 천안시 동남구 목천읍 충절로 892, 2층 201호 (목천프라임아파트)",gimi9,ok,"충청남도 천안시 동남구 목천읍 충절로 892, 2층 201호 (목천프라임아파트)",127.2100880454837,36.77221419361469,도로명 주소,목천읍,
"충청남도 천안시 동남구 문화1길 11, 2층 (문화동)",gimi9,ok,"충청남도 천안시 동남구 문화1길 11, 2층 (문화동)",127.15080062628536,36.80896113067723,도로명 주소,문성동,
충청남도 천안시 동남구 문화로 15,gimi9,ok,충청남도 천안시 동남구 문화로 15,127.15027574614383,36.81097887461034,도로명 주소,문성동,
충청남도 천안시 동남구 배울1길 16,gimi9,ok,충청남도 천안시 동남구 배울1길 16,127.13789968441432,36.770249494088525,도로명 주소,청룡동,
충청남도 천안시 동남구 백석로 184(봉명동),gimi9,ok,충청남도 천안시 동남구 백석로 184(봉명동),127.12964033864506,36.81936313427647,도로명 주소,봉명동,
충청남도 천안시 동남구 버들1길 29(원성동),gimi9,ok,충청남도 천안시 동남구 버들1길 29(원성동),127.1531070240052,36.80466787988213,도로명 주소,원성2동,
충청남도 천안시 동남구 버들1길 30,gimi9,ok,충청남도 천안시 동남구 버들1길 30,127.1542300260826,36.80422943078048,도로명 주소,원성2동,
충청남도 천안시 동남구 버들1길30,gimi9,ok,충청남도 천안시 동남구 버들1길30,127.1542300260826,36.80422943078048,도로명 주소,원성2동,
충청남도 천안시 동남구 버들로 153 (원성동),gimi9,ok,충청남도 천안시 동남구 버들로 153 (원성동),127.16353525098842,36.80662698116595,도로명 주소,원성1동,
충청남도 천안시 동남구 버들로 34,gimi9,ok,충청남도 천안시 동남구 버들로 34,127.15109922365986,36.807393453815216,도로명 주소,문성동,
"충청남도 천안시 동남구 버들로 41, 지하1층 (문화동, 파리빌딩)",gimi9,ok,"충청남도 천안시 동남구 버들로 41, 지하1층 (문화동, 파리빌딩)",127.15201934590776,36.80720684146485,도로명 주소,문성동,
충청남도 천안시 동남구 버들로 71 (원성동),gimi9,ok,충청남도 천안시 동남구 버들로 71 (원성동),127.15456069443692,36.807980497710105,도로명 주소,원성1동,
충청남도 천안시 동남구 벌말1길 7,gimi9,ok,충청남도 천안시 동남구 벌말1길 7,127.1743170561296,36.81257963901135,도로명 주소,원성1동,
충청남도 천안시 동남구 병천면 가전리 190-1,gimi9,ok,충청남도 천안시 동남구 병천면 가전리 190-1,127.28490545934616,36.76907358418389,지번 주소,병천면,
충청남도 천안시 동남구 병천면 가전리 430,gimi9,ok,충청남도 천안시 동남구 병천면 가전리 430,127.2798194684884,36.75691236907814,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 가전리 589,gimi9,ok,충청남도 천안시 동남구 병천면 가전리 589,127.26627740267146,36.75967210563205,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 관성리 205,gimi9,ok,충청남도 천안시 동남구 병천면 관성리 205,127.34068569617092,36.81734510781957,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 관성리 744-4,gimi9,ok,충청남도 천안시 동남구 병천면 관성리 744-4,127.32388074365036,36.82130590058219,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 도원리 220-7,gimi9,ok,충청남도 천안시 동남구 병천면 도원리 220-7,127.32096203967168,36.784233024892345,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 도원리 608-5,gimi9,ok,충청남도 천안시 동남구 병천면 도원리 608-5,127.31021232757176,36.77134329202977,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 도원리 728,gimi9,ok,충청남도 천안시 동남구 병천면 도원리 728,127.31979476578056,36.78974828379371,지번 주소,병천면,
충청남도 천안시 동남구 병천면 병천2로 35,gimi9,ok,충청남도 천안시 동남구 병천면 병천2로 35,127.30095080826258,36.76490964333019,도로명 주소,병천면,
충청남도 천안시 동남구 병천면 병천2로 57,gimi9,ok,충청남도 천안시 동남구 병천면 병천2로 57,127.30258257664748,36.76650797644867,도로명 주소,병천면,
